building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
C & H COMPANY (STORAGE WAREHOUSE),304 ALASKAN WAY S,22200,126,Other,444579.0
NORTHLAKE BUILDING,1341 N NORTHLAKE WAY,49782,18,Office,3146907.0
PETCO AND OTHERS,809 NE 45TH ST,46059,96,Retail,1556949.0
KELLY ANNE APTS,816 NE 43RD ST,32331,40,Other,667485.0
CAMPUS VIEW APARTMENTS II,4328 7TH AVE NE,40152,38,Other,510363.0
CAMPUS VIEW APTS,4322 7TH AVE NE,42189,40,Other,947845.0
WESTWOOD APTS,4317 8TH AVE NE,84385,41,Other,1626969.0
MAPLEWOOD APTS,4253 7TH AVE NE,30964,41,Other,478301.0
APEX (40 UNIT APT BLDG),4233 7TH AVE NE,40090,43,Other,1051799.0
THE SHANNON APARTMENTS,4219 7TH AVE NE,31034,39,Other,620969.0
TREMEZZO CONDOMINIUM,5000 30TH AVE NE,29351,26,Other,203116.0
TRIO,3104 WESTERN AVE,131500,20,Other,3319064.0
HOWARD PARK APARTMENTS,4218 STONE WAY N,36600,18,Other,1310880.0
TUSCANY AT LAKE CITY CONDOMINIUM,14300 32ND AVE NE,32400,40,Other,902264.0
CREST APARTMENTS,1718 MELROSE AVE,54224,38,Other,1245717.0
WAVERLY PLACE CONDOMINIUM,2040 WAVERLY PL N,29522,36,Other,554104.0
SAINT THEODORE ON ROOSEVELT APTS,6410 9TH AVE NE,71510,27,Other,3121608.0
ACTON APTS,920 NE 63RD ST,30169,34,Other,747443.0
THE TOWERS ON GREENWOOD,8551 GREENWOOD AVE N,98486,26,Other,2158035.0
PIPER VILLAGE,8623 PALATINE AVE N,52626,18,Other,1221454.0
WEST BEACH CONDOMINIUM,10203 47TH AVE SW,115819,59,Other,3393633.0
FISHER BUILDING,115 S JACKSON ST,24940,126,Hotel,72487.0
SEATTLE QUILT BUILDING,316 1ST AVE S,50120,121,Other,1247938.0
HERMAN BLUMENTHAL BUILDING,122 S JACKSON ST,28142,126,Office,505762.0
WALTHAM BLOCK/OCCIDENTAL BUILDING,311 OCCIDENTAL AVE S,28760,126,Office,2057053.0
UNION TRUST BUILDING,119 S MAIN ST,39030,124,Office,962837.0
UNION TRUST ANNEX,117 S MAIN ST,27838,124,Office,1036705.0
EAST PRECINCT,1519 12TH AVE,61580,100,Other,2804909.0
Ballou Wright Building,1517 12TH AVE,30720,109,Office,1112161.0
POST OPTIONS,1122 E PIKE ST,20640,110,Other,366777.0
PIKE BUILDING,1000 E PIKE ST,34914,114,Other,2979966.0
LEGACY PINE STREET,1021 E PINE ST,20897,120,Other,668531.0
THE FORD BUILDING,1521 10TH AVE,30240,106,Retail,1002720.0
BLUFF BUILDING,916 E PIKE ST,32100,116,Other,2025927.0
ROOSEVELT APARTMENTS,1729 12TH AVE,36148,101,Other,3754745.0
MULTI RES,4253 8TH AVE NE,24153,36,Other,485010.0
KELSEY APARTMENTS,4233 9TH AVE NE,47332,40,Other,939826.0
CENTURYLINK: CAMPUS CO,801 NE 42ND ST,28586,64,Other,4920831.0
PORTAGE BAY APTS,4016 8TH AVE NE,46689,40,Other,980740.0
LAKE VIEW APTS,4040 7TH AVE NE,30347,39,Other,566603.0
KEY BANK (International Building),666 S DEARBORN ST,35202,47,Office,2227974.0
VIOLETT APTS ON MELROSE,1620 MELROSE AVE,37151,66,Other,678696.0
THREE20 APARTMENTS,320 E PINE ST,130284,13,Other,6642398.0
CAPITOL STEPS APARTMENTS,1633 BELLEVUE AVE,73830,29,Other,1690531.0
BELLEVUE & OLIVE APTS,1651 BELLEVUE AVE,77577,32,Other,2285486.0
MERRILL GARDENS - FAERLAND TERRACE,1421 MINOR AVE,95117,57,Other,6594922.0
THE NEW MCDERMOTT APARTMENTS,1514 BELLEVUE AVE,54572,100,Other,6113916.0
FIRST COVENANT CHURCH,1500 BELLEVUE AVE,24600,116,Other,495903.0
1629 CONDOMINIUM,1629 QUEEN ANNE AVE N,20378,36,Other,488826.0
TRINITY PARISH EPISCOPAL CHURCH,609 8TH AVE,48850,126,Other,1021179.0
HAWTHORNE APARTMENTS,1618 BELLEVUE AVE,104452,25,Other,1838291.0
GRANVIEW APARTMENTS,1120 N 93RD ST,29562,37,Other,745206.0
HILL CREST APARTMENTS,7524 35TH AVE SW,84415,37,Other,1822713.0
WEST OLYMPIC VIEW CONDOMINIUM,5601 CALIFORNIA AVE SW,22000,48,Other,518473.0
WEST POINT PLACE CONDOMINIUM,3507 SW ALASKA ST,21581,38,Other,425758.0
WEST QUEEN ANNE ON 5TH CONDO,1401 5TH AVE W,57212,106,Other,1708649.0
WESTRIDGE PARK APARTMENTS (7901),7901 DELRIDGE WAY SW,131307,36,Other,7337126.0
Villa Andora,1520 CALIFORNIA AVE SW,30420,57,Other,999003.0
PARK HAMILTON,1501 CALIFORNIA AVE SW,39757,60,Other,1064473.0
LORINGTON APTS,1107 E DENNY WAY,27328,116,Other,1587504.0
HOLIDAY APT,128 10TH AVE E,23200,68,Other,764632.0
LINCOLN COURT,1020 E DENNY WAY,20457,119,Other,1733515.0
THE CAPITAL BLDG,200 BROADWAY E,38160,102,Other,5207676.0
705 LOFTS,705 S WELLER ST,46951,20,Other,1094474.0
NEW AMERICAN CONDO,420 7TH AVE S,30210,110,Other,2160496.0
MODINE,115 S DAWSON ST,25000,66,Other,268689.0
PINE BELLEVUE BUILDING,400 E PINE ST,27544,109,Office,1009716.0
OLETA,1816 BELLEVUE AVE,21264,116,Other,2099561.0
BELGROVE COURT,1808 BELLEVUE AVE,63102,34,Other,1520436.0
THE BURLINGAME,404 E HOWELL ST,26694,101,Other,2266490.0
1200 ALKI CONDOMINIUM,1200 ALKI AVE SW,26442,26,Other,872898.0
1223 SPRING STREET CONDOMINIUM,1223 SPRING ST,66924,97,Other,5666781.0
1226 ALKI AVE SW,1226 ALKI AVE SW,24396,18,Other,361164.0
TWENTY-THIRD AND MAIN CONDOMINIUM,303 23RD AVE S,49310,26,Other,1364849.0
1238 ALKI CONDOMINIUM,1238 ALKI AVE SW,25200,24,Other,813216.0
2001 WESTLAKE TERRACE CONDOMINIUM,2001 WESTLAKE AVE N,26294,59,Other,578789.0
22 WEST LEE,22 W LEE ST,36192,21,Other,999978.0
2700 FOURTH AVENUE CONDOMINIUM,2700 4TH AVE,31008,115,Other,1028325.0
WESTBURY TERRACE CONDOMINIUM,9710 5TH AVE NE,53088,47,Other,1185736.0
WESTERLY CONDOMINIUM,4540 45TH AVE SW,20407,37,Other,518932.0
WESTERN TRIANGLE BUILDING CONDOMINIUM,2125 WESTERN AVE,47415,37,Office,1568393.0
AVALON WEST,3250 SW AVALON WAY,21294,35,Other,649811.0
TERRACE VILLA,3230 SW AVALON WAY,43441,37,Other,858452.0
THE RESIDENCES AT 3295,3295 SW AVALON WAY,84982,17,Other,1474524.0
SWEDISH CLUB,1920 DEXTER AVE N,22960,65,Other,1909686.0
MARTINIQUE APT,2122 8TH AVE N,61107,60,Other,1688059.0
SAFEWAY STORE # 1551,1410 E JOHN ST,44739,28,Retail,12854116.0
PRIMEAU PLACE,308 14TH AVE E,42720,42,Other,1398929.0
Dublin,1052 E THOMAS ST,21892,117,Other,250264.0
NAUTICA CONDO,701 GALER ST,79090,34,Other,1939126.0
SANDPOINT VILLAGE,5400 SAND POINT WAY NE,22778,78,Other,2456991.0
CHURCH OF PHILADELPHIA,7704 24TH AVE NW,21562,70,Other,1252485.0
CORONA APARTMENTS,433 BELMONT AVE E,31570,66,Other,774706.0
MLK FAME COMMUNITY CENTER CAMPUS,3201 E REPUBLICAN ST,25753,67,School,387413.0
SEATTLE TENNIS CLUB,922 MCGILVRA BLVD E,71280,98,Other,31597010.0
MCGILVRA (SPS-DISTRICT),1617 38TH AVE E,38297,101,School,2784460.0
PARKSHORE,1630 43RD AVE E,225629,63,Other,23075140.0
LAKE COURT APTS,2012 43RD AVE E,46613,104,Other,980700.0
ALKI SHORES APTS/ ALKI CAFE/ LIBERTY DELI,2720 ALKI AVE SW,22982,64,Other,615349.0
RIPPLE ROCK APTS,2728 61ST AVE SW,25016,68,Other,542593.0
2201 WESTLAKE ENSO CONDOMINIUMS,820 BLANCHARD ST,525049,17,Other,28863594.0
TWIN GABLES CONDOMINIUM,1516 E REPUBLICAN ST,22234,97,Other,1193799.0
200  W HIGHLAND,200 W HIGHLAND DR,62190,17,Other,1432921.0
202 WEST OLYMPIC PL CONDOMINIUM,202 W OLYMPIC PL,26472,47,Other,626388.0
200 ROY STREET CONDO,200 ROY ST,92342,33,Other,4673672.0
Boylston Howell,1726 BOYLSTON AVE,33274,28,Other,1074515.0
BOLYSTON COURT APTS,700 E OLIVE ST,31457,78,Other,1402142.0
PORTER APT,1630 BOYLSTON AVE,26246,109,Other,3949247.0
DEXTER HOUSE APT,2004 DEXTER AVE N,32615,65,Other,495406.0
ALOHA INN TRANSITIONAL HOUSING,1911 AURORA AVE N,23513,45,Other,1102311.0
WESTMONT CONDOMINIUM,3120 SW AVALON WAY,25800,24,Other,707318.0
WESTVIEW AT GREENWOOD CONDOMINIUM,8750 GREENWOOD AVE N,82514,28,Other,2172562.0
WESTVIEW MANOR CONDOMINIUM,2625 13TH AVE W,22202,49,Other,533364.0
WESTWATER,6970 CALIFORNIA AVE SW,71280,37,Other,1567433.0
WESTWOOD PLAZA CONDOMINIUM,2421 SW TRENTON ST,35122,45,Other,901284.0
CAMBRIDGE MANOR,9403 16TH AVE SW,24259,60,Other,515908.0
LOS ANGELES COOPERATIVE APARTMENTS,214 SUMMIT AVE E,22160,109,Other,693637.0
SEALTH VISTA,203 BELMONT AVE E,24650,103,Other,1198310.0
ST FLORENCE APT,504 E DENNY WAY,30040,112,Other,1601791.0
CASTELLAN,607 E HARRISON ST,36885,36,Other,873720.0
BELMONT COURT APARTMENTS,424 BELMONT AVE E,49649,26,Other,760050.0
OLIVE TERRACE APTS,420 E HOWELL ST,28094,71,Other,1035678.0
WINCHESTER APT,605 E DENNY WAY,22795,99,Other,1327002.0
OLYMPIC VIEW APTS,11740 GREENWOOD AVE N,32962,39,Other,734256.0
CHRIST THE KING MIDDLE SCHOOL,11555 DAYTON AVE N,23222,88,School,1471922.0
OAK TREE,910 N 104TH ST,23346,40,Other,867629.0
SUMMIT ARMS,1512 SUMMIT AVE,27320,118,Other,911685.0
DUNN MOTORS BUILDING,501 E PIKE ST,117555,10,Other,3015248.0
AUTO-ROW BUILDING/PRICE-RAGEN.COM,517 E PIKE ST,24750,116,Other,852000.0
BELMONT APTS,516 E UNION ST,27792,102,Other,1278546.0
MANCHESTER ARMS,1412 SUMMIT AVE,23600,118,Other,1994930.0
NORTHWEST SCHOOL,1415 SUMMIT AVE,58937,122,School,2790251.0
THE SUMMIT,420 E PIKE ST,46560,72,Other,859515.0
SUMMIT PLACE,1629 SUMMIT AVE,35138,62,Other,729278.0
MORRIS APTS,1743 SUMMIT AVE,20340,110,Other,235014.0
CORINTHIAN APTS,1705 SUMMIT AVE,46274,102,Other,2555183.0
UNION BAY CONDOMINIUM,762 HAYES ST,31008,49,Other,1296066.0
UNION HARBOR CONDOMINIUM,2301 FAIRVIEW AVE E,53862,58,Other,1416681.0
ASSOCIATION CENTER,1515 DEXTER AVE N,30408,46,Other,565952.0
LAKE UNION TOWER,766 GARFIELD ST,33978,31,Other,758445.0
1611 on Lake Union (WESTLAKE VILLAGE),1611 8TH AVE N,66204,19,Other,1818413.0
UNION VIEW APTS,1620 DEXTER AVE N,31266,28,Other,596735.0
MCHUGH BLDG,1725 WESTLAKE AVE N,30109,106,Office,1799436.0
WHITMAN VISTA CONDOMINIUM,3600 WHITMAN AVE N,27480,46,Other,665986.0
FAIRMOUNT PARK ELEMENTARY SCHOOL (SPS-DISTRICT),3800 SW FINDLAY ST,39929,62,School,2214704.0
GREEN LAKE MANOR,1340 N 79TH ST,24920,79,Other,680502.0
QUEEN ANN LUTHERAN CHURCH,2400 8TH AVE W,25481,66,Office,188662.0
CAROLINE KLINE GALLAND HOME,7500 SEWARD PARK AVE S,141297,59,Other,21861906.0
WATERMARK TOWER,1107 1ST AVE,195788,43,Other,7519680.0
JOHN COURT APTS,1435 E JOHN ST,53525,19,Other,963228.0
THE WILLIS CONDOMINIUM,720 QUEEN ANNE AVE N,48600,29,Other,1637640.0
SANDRIDGE APTS,6200 SAND POINT WAY NE,40894,41,Other,1222075.0
GREEN LAKE POINT,1400 N 80TH ST,35843,17,Other,713596.0
WINDERMERE NORTH CONDOMINIUM,6300 SAND POINT WAY NE,47419,45,Other,1297946.0
SUPPLY LAUNDRY BUILDING,1265 REPUBLICAN ST,27788,114,Office,1637778.0
ALLEY 24 (NORTH & SOUTH TOWER),224 PONTIUS AVE N,171874,20,Other,5255514.0
SILVIAN APTS,914 E HARRISON ST,23242,112,Other,734942.0
HARVARD COURT,610 HARVARD AVE E,49256,58,Other,2094978.0
CAMALOT,533 HARVARD AVE E,30240,61,Other,682171.0
MULHOLLAND APARTMENTS,507 HARVARD AVE E,25958,100,Other,780530.0
NORTH POINTE CONDOMINIUM,3300 MERIDIAN AVE N,55362,33,Other,2368830.0
ALEXANDER HAMILTON APARTMENTS,1127 OLYMPIC WAY W,25380,96,Other,2009741.0
NORTHERN LIGHTS CONDOMINIUM,1017 W NICKERSON ST,39967,61,Other,1136491.0
WHSE,130 S DAKOTA ST,36000,76,Other,5086868.0
LEDUC PACKING/CROSSCUT HARDWOODS (101 S. Dakota),4100 1ST AVE S,22324,85,Other,565736.0
THE FOUNDRY,4130 1ST AVE S,31360,80,Other,500787.0
DANIEL SMITH-FINE ART MATERIALS,4150 1ST AVE S,30496,79,Other,1921590.0
NORTHGATE PLAZA CONDOMINIUM,9416 1ST AVE NE,99893,47,Other,3190345.0
NORTHGATE VILLA CONDOMINIUM,10501 8TH AVE NE,140594,42,Other,331051.0
NORTHGATE WEST CONDOMINIUM,11300 1ST AVE NE,102298,47,Other,2355752.0
UNION ARMS,604 E UNION ST,67304,101,Other,2634460.0
MAPLE LEAF ASSISTED LIVING,9001 LAKE CITY WAY NE,99941,21,Other,3821110.0
BUENA VISTA,1631 BOYLSTON AVE,22800,119,Other,319230.0
1605 BOYLSTON,610 E PINE ST,27600,104,Office,772990.0
RIALTO COURT,1729 BOYLSTON AVE,26684,119,Other,758926.0
THE GRANADA APTS,1736 BELMONT AVE,72576,103,Other,720505.0
EMERALD ARMS,1741 BELMONT AVE,33279,100,Other,2007116.0
CHARBERN APTS,1705 BELMONT AVE,57504,101,Other,2052006.0
HUDSON HOUSE,1712 SUMMIT AVE,25536,120,Other,2367493.0
WINDSOR COURT,566 PROSPECT ST,30720,37,Other,823315.0
WINDWATCH TOWNHOUSES CONDOMINIUM,2400 AURORA AVE N,44832,39,Other,761560.0
WINDY HILLS CONDOMINIUM,3710 27TH PL W,71610,58,Other,2364798.0
WOODLAND COURT APARTMENTS,705 N 50TH ST,28256,110,Other,628566.0
SANTORINI AT THE PARK APTS + OFFICE,4902 AURORA AVE N,39235,25,Other,671111.0
LAKE HOUSE THE CONDOMINIUM,2320 43RD AVE E,59502,58,Other,2128323.0
COTTONWOOD APT,11002 35TH AVE NE,21712,48,Other,693406.0
QUEEN CITY APARTMENTS,1707 N 45TH ST,28187,101,Other,1537276.0
SOLID GROUND,1501 N 45TH ST,31686,29,Office,1987615.0
LAKE UNION PLACE,1914 N 34TH ST,26694,45,Office,588331.0
BERGEN APTS,9711 GREENWOOD AVE N,21440,59,Other,485351.0
NW MARKET STREET CONDOMINIUM,5501 11TH AVE NW,20143,57,Other,617828.0
NOVELL,901 NE 43RD ST,21158,100,Other,638684.0
HANSON BROS TRANSFER & STORAGE,10750 AURORA AVE N,29400,54,Other,362661.0
GEORGETOWN  INN,6100 CORSON AVE S,22452,34,Hotel,824447.0
UNION PARK APARTMENTS,1310 MINOR AVE,113665,37,Other,1672033.0
UNIVERSITY WEST APTS,4544 7TH AVE NE,78600,55,Other,4019142.0
CULP APTS,4555 15TH AVE NE,27996,98,Other,1008923.0
4518 UNIVERSITY,4518 UNIVERSITY WAY NE,33910,73,Retail,1852079.0
WAYFARER APARTMENTS,4725 15TH AVE NE,26008,103,Other,1601603.0
RIVENDELL APTS,4719 15TH AVE NE,34962,27,Other,617243.0
HIATT APARTMENTS,4701 15TH AVE NE,26185,67,Other,658758.0
LOTHLORIEN APARTMENTS,4719 UNIVERSITY WAY NE,130600,19,Other,3619242.0
DAVISON APTS - 22 UNITS,5003 15TH AVE NE,22018,100,Other,670611.0
FREMONT PLACE,4601 PHINNEY AVE N,25721,43,Other,851744.0
WOODLAND CREST CONDOMINIUM,5901 PHINNEY AVE N,27432,41,Other,705009.0
NORSE HOME,5301 PHINNEY AVE N,83008,71,Other,7581821.0
APARTMENTS,5705 PHINNEY AVE N,32810,96,Other,3478042.0
AMLI WALLINGFORD APARTMENT-NORTH,3400 WALLINGFORD AVE N,213576,10,Other,4283332.0
MARINER SQUARE,1900 N NORTHLAKE WAY,78716,47,Other,4252462.0
ST BENEDICT SCHOOL,1707 N 49TH ST,33300,116,School,1919535.0
QFC WALLINGFORD,4500 WALLINGFORD AVE N,28808,69,Retail,7711175.0
LAKE UNION HOUSE THE CONDOMINIUM,949 N 35TH ST,23101,48,Other,641290.0
QUARTERDECK CONDOMINIUM,3700 26TH PL W,81821,52,Other,2716089.0
QUEEN ANNE HS CONDOS,201 GALER ST,135608,118,Other,5777666.0
QUEEN ANNE OCEAN VIEW CONDOMINIUM,2244 13TH AVE W,41126,36,Other,2164369.0
QUEEN ANNE 20 CONDOMINIUM,2221 GILMAN DR W,29088,49,Other,623702.0
IRO APARTMENTS,5233 15TH AVE NE,30034,61,Other,716899.0
17 APT UNITS-OFC-STORE,5200 UNIVERSITY WAY NE,30481,51,Other,675548.0
ADRIA,5222 UNIVERSITY WAY NE,20280,45,Other,583840.0
RENAISSANCE BUILDING,5265 UNIVERSITY WAY NE,43644,29,Other,687992.0
UNIVERSITY PLAZA APARTMENTS,5233 UNIVERSITY WAY NE,37002,28,Other,792279.0
4701 University Way Bldg,4701 UNIVERSITY WAY NE,27966,69,Office,1156414.0
University Regency Apt,4522 BROOKLYN AVE NE,34090,101,Other,1170257.0
ALADDIN APTS,6805 WOODLAWN AVE NE,38035,68,Other,924413.0
CIRCA GREEN LAKE,6900 E GREEN LAKE WAY N,191226,18,Other,8348568.0
GREENLAKE COMMUNITY CENTER & GREENLAKE PARK,7201 E GREEN LAKE DR N,35143,72,Other,5400216.0
GREENLAKE PLAZA APTS,505 NE 70TH ST,94410,57,Other,5140372.0
CITY VIEW LESCHI,2901 S JACKSON ST,26583,22,Other,1589542.0
OFFICE BUILDING,1600 FAIRVIEW AVE E,37639,28,Office,4795992.0
STATE HOTEL (LIVE/WORK LOFTS),114 1ST AVE S,21840,126,Other,432228.0
DEL MAR BUILDING (HOTEL DEL MAR BUILDING),108 S WASHINGTON ST,22840,126,Office,815477.0
Walker Building,107 OCCIDENTAL AVE S,21420,126,Other,567803.0
The Washington Building,164 S WASHINGTON ST,20880,126,Office,525391.0
LUCKNOW/WATERFALL PLACE APTS,215 2ND AVE S,38765,126,Other,690795.0
DUNCAN BUILDING,315 2ND AVE S,38675,126,Office,1612956.0
Fire Headquarters,301 2ND AVE S,54697,97,Other,4883682.0
QUEEN'S COURT CONDO,124 WARREN AVE N,23052,96,Other,814667.0
1811 EASTLAKE PROJECT,1811 EASTLAKE AVE,41461,21,Other,2493475.0
BARTON PLACE,9201 RAINIER AVE S,65418,55,Other,3482227.0
HIAWATHA LOFTS,843 HIAWATHA PL S,65161,19,Other,2064004.0
UNIV PARK APTS,5240 15TH AVE NE,28753,45,Other,705146.0
UNIVERSITY LUTHERAN CHURCH,1604 NE 50TH ST,41013,99,Other,3101020.0
ALPHA PHI SORORITY,4710 19TH AVE NE,22232,98,Other,1759927.0
TAMARAC APTS,4733 17TH AVE NE,30358,49,Other,530769.0
CALVARY TEMPLE CHURCH,6801 ROOSEVELT WAY NE,46485,76,Other,1485355.0
NORTH TOWNE MANOR,858 NE 67TH ST,25943,68,Other,688999.0
STRADA 67 APTS,6619 ROOSEVELT WAY NE,36992,37,Other,583869.0
OSWEGO PLACE APTS,6840 OSWEGO PL NE,27770,38,Other,545164.0
WEEDIN PLACE AT GREENLAKE APTS,6909 WEEDIN PL NE,52263,35,Other,1281143.0
OLMSTED MANOR (SHA),501 NE RAVENNA BLVD,31023,40,Other,1207765.0
THE CHURCH IN SEATTLE,6900 WOODLAWN AVE NE,27500,48,Other,542022.0
MOSES BUILDING,312 2ND AVE S,26830,126,Office,1939806.0
MOTTMAN BUILDING,307 3RD AVE S,41920,120,Office,441606.0
QUINTESSA APTS,201 YESLER WAY,90959,19,Other,2991818.0
FRYE APARTMENTS,223 YESLER WAY,177364,118,Other,7794960.0
UNION HOTEL APARTMENTS,200 3RD AVE S,25027,121,Other,2580646.0
FOSTER WHITE GALLERY/SEATTLE FIRE DEPT,220 3RD AVE S,33640,121,Office,1273199.0
SEATTLE LIGHTING FIXTURE COMPANY,222 2ND AV ET S,43484,120,Other,1162098.0
IMPERIAL HOUSE,520 S MAIN ST,74327,47,Other,4599254.0
GOVERNOR APARTMENTS,514 S JACKSON ST,20304,100,Other,1525132.0
BUTY BUILDING,501 S JACKSON ST,22480,126,Other,779267.0
AMERICAN HOTEL HOSTEL,520 S KING ST,33018,101,Hotel,5781027.0
THE PUBLIX APARTMENTS (FMR HISTORIC HOTEL),504 5TH AVE S,39279,98,Other,9262041.0
Dearborn Bldg,624 S DEARBORN ST,26510,56,Office,989353.0
AVANA ON THE LAKE,538 LAKESIDE AVE S,72566,65,Other,1584945.0
TRINITY SHORES APTS,714 LAKESIDE AVE S,25966,67,Other,699668.0
LAKEHURST CONDOMINIUM,2805 NE 125TH ST,33456,30,Other,855383.0
LAKESHORE WEST CONDOMINIUM,2360 43RD AVE E,63336,60,Other,1890935.0
LAKESIDE NORTH CONDOMINIUM,1740 NE 86TH ST,44202,44,Other,1082141.0
LAKESIDE WEST CONDOMINIUM,2040 43RD AVE E,80539,65,Other,7720871.0
LAKEVIEW LANAI CONDOMINIUM,1600 43RD AVE E,45067,67,Other,3858970.0
LAKEVIEW NORTH CONDOMINIUM,3420 BURKE AVE N,21990,37,Other,680728.0
LAKEWEST Condos - Flats,2101 WESTLAKE AVE N,90372,42,Other,1711428.0
LAMPLIGHTER THE CONDOMINIUM,505 BELMONT AVE E,67813,64,Other,2799462.0
LANDINGS LAKE UNION CONDOMINIUM,3919 LATONA AVE NE,34653,27,Other,943160.0
THE LA SALLE,1430 WESTERN AVE,132150,125,Other,5806575.0
NORTH LAKE OFFICE BUILDING,100 NE NORTHLAKE WAY,44510,19,Office,2337162.0
RIVENDELL APTS,220 NE 65TH ST,21841,59,Other,488673.0
GREENLAKE SCHOOL (SPS-DISTRICT),6505 1ST AVE NE,42239,56,School,2650628.0
KEYSTONE PLACE APTS,5410 KEYSTONE PL N,21880,58,Other,811225.0
MCDONALD (SPS-DISTRICT),120 NE 54TH ST,51360,101,School,2149754.0
LESCHI HEIGHTS,2900 S KING ST,24621,59,Other,675769.0
ASCONA APTS,200 5TH AVE S,40420,116,Other,1495043.0
INTERNATIONAL HOUSE,607 MAYNARD AVE S,75477,47,Other,4770806.0
FREEDMAN APARTMENTS,515 MAYNARD AVE S,36000,116,Other,1314638.0
ALPS HOTEL APARTMENTS,621 S KING ST,47607,116,Other,1286585.0
N P HOTEL & MANEKI RESTAURANT,304 6TH AVE S,34848,112,Other,1913745.0
FAR EAST BUILDING APTS,614 S JACKSON ST,27494,116,Other,645186.0
INTERNATIONAL APTS-53 UNITS,315 MAYNARD AVE S,23200,116,Other,766513.0
METROPOLITAN PARK APARTMENTS,601 S WASHINGTON ST,97737,35,Other,2375477.0
INTERNATIONAL TERRACE,202 6TH AVE S,76094,53,Other,4088170.0
100 on 6th,104 6TH AVE S,27600,123,Other,967687.0
WASHINGTON TERRACE APTS,609 YESLER WAY,134974,21,Other,4273176.0
NIPPON KAN/KOBE PARK BUILDING,633 YESLER WAY,31432,117,Office,1402749.0
NIHONMACHI TERRACE APTS,651 S MAIN ST,67590,21,Other,3727659.0
EVERGREEN HOTEL BUILDING,400 MAYNARD AVE S,24171,110,Other,837193.0
ATLAS BUILDING,420 MAYNARD AVE S,46560,106,Other,4200056.0
REX APTS & TAI TUNG'S,657 S KING ST,34560,117,Other,729500.0
LOYAL HEIGHTS MANOR,7547 24TH AVE NW,57770,46,Other,1230774.0
JOHN STANFORD INT'L (LATONA)  ELEMENTARY (SPS-DISTRICT),400 NE 42ND ST,61052,26,School,2695883.0
LAURELCREST RESIDENTIAL PARK CONDOMINIUM,4707 40TH AVE NE,65042,77,Other,2246874.0
LAURELHURST CONDOMINIUM,4545 SAND POINT WAY NE,143960,58,Other,3168766.0
WASHINGTON HALL,153 14TH AVE,25864,118,Other,1496331.0
THE BARCLAY,4747 16TH AVE NE,36300,47,Other,798667.0
KAPPA ALPHA THETA SORORITY,4521 17TH AVE NE,20686,102,Other,1557487.0
PHI GAMMA DELTA FRATERNITY,4503 17TH AVE NE,22124,97,Other,661134.0
WASHINGTON SQUARE,4504 16TH AVE NE,52250,38,Other,1013497.0
SIGMA CHI FRATERNITY,4505 18TH AVE NE,23616,100,Other,2023557.0
UPSTAIRS DOWNSTAIRS APARTMENTS,4528 18TH AVE NE,33448,50,Other,480514.0
YESLER COMMUNITY CENTER,917 E YESLER WAY,29508,21,Other,2027181.0
1601 E YESLER WAY - BENU HOME,1601 E YESLER WAY,85440,39,Other,3411265.0
LANGSTON HUGHES CULTURAL ARTS CENTER,104 17TH AVE S,30992,113,Other,5212492.0
SPRUCE PARK APARTMENTS,155 21ST AVE,24980,114,Other,1372091.0
28 UNIT APARTMENT,231 26TH AVE E,24415,37,Other,687908.0
MADISON VISTA APTS,114 24TH AVE E,31300,116,Other,1144494.0
Kerry Hall,710 E ROY ST,31900,105,Other,2077927.0
LOYAL HEIGHTS COMMUNITY CENTER,2101 NW 77TH ST,29417,76,Other,2117613.0
NEW CENTRAL HOTEL CONDOMINIUM,657 S WELLER ST,49299,117,Other,4522602.0
MCBRIDE COURT,4515 29TH AVE S,58035,21,Other,1070238.0
SNOQUALMIE PLACE,2917 S SNOQUALMIE ST,54300,21,Other,1354652.0
NEWMARK TOWER CONDOMINIUM (MULTIFAMILY PORTION),1415 2ND AVE,220018,35,Other,5612944.0
ADMIRAL METROPOLITAN MARKET,2320 42ND AVE SW,31841,29,Retail,10161766.0
ADMIRAL HEIGHTS,2326 CALIFORNIA AVE SW,76699,26,Other,3457149.0
RAGLEY APARTMENTS,1608 E REPUBLICAN ST,20064,104,Other,1227781.0
MILWAUKEE APARTMENTS,664 S KING ST,86400,115,Other,1652826.0
4545 ROOSEVELT WAY NE,4545 ROOSEVELT WAY NE,91100,27,Other,3813142.0
SEATTLE COMMUNITY CHURCH,4501 46TH AVE NE,20039,72,Other,304646.0
LAURELHURST K-8 (SPS-DISTRICT),4530 46TH AVE NE,54943,98,School,4560064.0
NORTHWEST WHOLESALE FLORISTS,525 S FRONT ST,44476,66,Other,1430800.0
PACIFIC GEORGETOWN CENTER LLC,6363 7TH AVE S,35017,57,Office,1136099.0
WILSONIAN APARTMENTS,4710 UNIVERSITY WAY NE,100234,103,Other,14857962.0
SAMAKI COMMONS,3908 S KENYON ST,37361,17,Other,1629386.0
UPTOWN CONDO,520 2ND AVE,35655,34,Other,1272862.0
URBAN LEAGUE VILLAGE,2300 S MASSACHUSETTS ST,48441,126,Other,1735842.0
UWAJIMAYA VILLAGE,512 S WELLER ST,294707,26,Other,15340452.0
VEER LOFTS,401 9TH AVE N,103931,18,Other,2878285.0
VERANDAS ON QUEEN ANNE CONDOMINIUM,1901 TAYLOR AVE N,36115,27,Other,597667.0
