building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
UW - BURKE MEMORIAL-WASHINGTON STATE MUSEUM,4300 15TH AVE NE,116756,8,Other,12027406.0
744 N 34TH ST,744 N 34TH ST,202081,9,Office,8512381.0
AURA WEST SEATTLE,4435 35TH AVE SW,195221,10,Other,3855412.0
THE COURTYARD,4039 8TH AVE NE,22694,10,Other,462675.0
BALLARD PUBLIC LOFTS plus MARKET,6450 24TH AVE NW,139342,10,Other,3629790.0
SYLVIA ODOM'S PLACE,2013 3RD AVE,41706,10,Other,2066168.0
FIRENZE APODMENT,151 12TH AVE,25020,10,Other,1305576.0
SPRINGLINE APARTMENTS,3220 CALIFORNIA AVE SW,161999,9,Other,5116258.0
AVA CAPITOL HILL,600 E PIKE ST,310892,10,Other,4524112.0
JANUS APTS/RETAIL SPACES,101 NW 85TH ST,133881,10,Other,3350931.0
AMAZON DOPPLER BUILDING,2021 7TH AVE,1496961,10,Office,45050740.0
CRAFT APARTMENTS,1315 E JEFFERSON ST,29549,10,Other,981329.0
8TH & REPUBLICAN,430  8TH AVE N,245889,10,Other,6503272.0
THE CENTRAL APARTMENTS,2203 E UNION ST,104598,10,Other,1541629.0
TABLEAU (NORTH EDGE),1621 N 34TH ST,338989,10,Office,12152586.0
MERRILL GARDENS AT BALLARD,2418 NW 56TH ST,115947,10,Other,4962500.0
SAVANNA APARTMENTS,4710 11TH AVE NE,31988,10,Other,745742.0
NEIGHBORCARE HEALTH,10521 MERIDIAN AVE N,44745,10,Office,1711505.0
DENNY 18 APARTMENTS,1823 18TH AVE,30106,10,Other,696433.0
80 MAIN APARTMENTS,80   S MAIN ST,38717,10,Other,1047488.0
JUNCTION FLATS,4433 42ND AVE SW,69511,10,Other,1675520.0
VIK CONDOS,1760 NW 56TH ST,88028,10,Other,3345602.0
ELEANOR APARTMENTS,800 NE 67TH ST,273568,10,Other,3019501.0
CITYLINE APARTMENTS,4740 32ND AVE S,281300,10,Other,7347826.0
STENCIL APARTMENTS,2407 E UNION ST,44192,10,Other,1440824.0
QUEEN ANNE AT RODGERS PARK,2900 3RD AVE W,139061,10,Other,6334878.0
PLAZA ROBERTO MAESTAS,1670 S ROBERTO MAESTAS FEST ST,185611,10,Other,2051761.0
ABBEY LINCOLN COURT,2020 S JACKSON ST,50726,10,Other,1708409.0
PREXY APARTMENTS,4737 ROOSEVELT WAY NE,42677,10,Other,855865.0
LUMA CONDOMINIUM,1321 SENECA ST,224326,10,Other,8347590.0
BOWMAN STONEWAY,3801 STONE WAY N,426320,10,Other,8179664.0
WEYERHAEUSER HQ,200 OCCIDENTAL AVE S,213803,10,Office,4873981.0
ISOLA SW ALASKA,4400 SW ALASKA ST,29317,9,Other,766834.0
THIRD AND BATTERY BUILDING,2400 3RD AVE,95576,10,Office,2215145.0
COMMONS AT BALLARD,5621 22ND AVE NW,178578,10,Other,4002502.0
1701 DEXTER,1701 DEXTER AVE N,60500,10,Other,1396174.0
UPTOWN 11,531 QUEEN ANNE AVE N,75494,10,Other,1689191.0
MIDTOWN 21 (AMAZON),1007  STEWART ST,489821,10,Office,15805341.0
U-VILLAGE RH GALLERY,4645  26TH AVE NE,47406,10,Retail,2927390.0
BALLARD SPACE,5304  BALLARD AVE NW,37100,10,Office,1114496.0
TOTAL WINE AND MORE,1550 W ARMORY WAY,25065,10,Retail,1332331.0
Northgate Community Center,10510 5th Ave NE,20616,21,Other,557305.0
Conservatory Campus,1400 E Galer St,23445,114,Other,5807830.0
Garfield Community Center,2323 E CHERRY ST,20050,32,Other,2257959.0
3RD AND HARRISON,450 3RD AVE W,240700,10,Office,5587318.0
TILT 49 (OFFICE PORTION),1812 BOREN AVE,305542,9,Office,9154049.0
TROY BLOCK (AMAZON),300 BOREN AVE N,1261155,9,Office,33205086.0
BROADSTONE CLARENDON,105 WARREN AVE N,91909,10,Other,927009.0
ORIGIN APARTMENTS,12311 32ND AVE NE,183212,10,Other,2723411.0
CASCADE I & II COMBINED,221 MINOR AVE N,550889,10,Other,15134633.0
THOMPSON SEATTLE HOTEL + SEQUEL APTS,110 STEWART ST,253664,9,Other,11951702.0
THE WILCOX,2003 NW 57TH ST,144820,10,Other,2739260.0
MODERA CAPITOL HILL APARTMENTS,1427 11TH AVE,153742,10,Other,4254396.0
MERCY OTHELLO PLAZA,6940 M L KING JR WAY S,125565,9,Other,3226004.0
PUBLIC STORAGE (STORE 29233),1200 S DEARBORN ST,217223,10,Warehouse,1173748.0
MARK ON 8TH,285 8TH AVE N,187070,10,Other,3396227.0
ICON APARTMENTS,400 S JACKSON ST,137771,9,Other,4191206.0
